starelid,column,stainherit,stanullfrac,stawidth,stadistinct,stakind1,stakind2,stakind3,stakind4,stakind5,staop1,staop2,staop3,staop4,staop5,stanumbers1,stanumbers2,stanumbers3,stanumbers4,stanumbers5,stavalues1,stavalues2,stavalues3,stavalues4,stavalues5
"16392",id,"f","0.116599999","19","911","1","2","3","0","0","98","664","664","0","0","{0.16156666,0.1105,0.0769666657,0.0725999996,0.0663666651,0.0372666679,0.0226000007,0.0166666675,0.0165999997,0.0124000004,0.009333333,0.00719999988,0.00710000005,0.00683333352,0.00669999979,0.0066333334,0.00566666666,0.00546666654,0.00543333311,0.00473333336,0.00473333336,0.0046666665,0.00419999985,0.00403333316,0.00400000019,0.00393333333,0.00376666663,0.00366666657,0.00353333331,0.00350000011,0.00343333324,0.00340000005,0.00326666678,0.00323333335,0.00316666672,0.00286666676,0.0027999999,0.0027999999,0.0027666667,0.00270000007,0.00233333325,0.00233333325,0.00230000005,0.00230000005,0.00219999999,0.00216666656,0.00206666673,0.00206666673,0.00203333329,0.00190000003,0.00179999997,0.00166666671,0.00163333339,0.00156666664,0.00156666664,0.00153333333,0.00153333333,0.00150000001,0.0014666667,0.0014666667,0.00139999995}",,"{0.0797360092}",,,"{(Italy),\"(International: English title)\",\"(West Germany)\",(USA),(Germany),\"(USA) (working title)\",(UK),\"(Hong Kong: English title)\",(Austria),(France),\"(East Germany)\",\"(International: English title) (literal title)\",\"(Europe: English title)\",\"(Canada: French title)\",\"(International: English title) (informal literal title)\",\"(USA) (video title)\",\"(Bulgaria: Bulgarian title) (original Cyrillic KOI8-R title)\",\"(USA) (complete title)\",\"(Germany) (TV title)\",\"(Hong Kong: Cantonese title)\",\"(USA) (reissue title)\",\"(literal English title)\",\"(Soviet Union: Russian title) (original Cyrillic KOI8-R title)\",\"(Germany) (DVD title)\",\"(USA) (alternative spelling)\",\"(USA) (short title)\",\"(USA) (series title)\",\"(Soviet Union: Russian title)\",(Spain),\"(USA) (alternative title)\",\"(USA) (DVD title)\",\"(Germany) (working title)\",\"(International: English title) (informal title)\",\"(India: English title)\",\"(West Germany) (TV title)\",\"(France) (working title)\",\"(USA) (new title)\",\"(USA) (video box title)\",(Australia),\"(Hong Kong: Mandarin title)\",\"(Canada: English title)\",\"(Philippines: English title)\",\"(Belgium: French title)\",\"(USA) (literal English title)\",\"(West Germany) (video title)\",\"(USA) (TV title)\",\"(Belgium: Flemish title)\",\"(Russia) (original Cyrillic KOI8-R title)\",\"(UK) (working title)\",\"(USA) (DVD box title)\",\"(Finland: Swedish title)\",\"(Europe: English title) (festival title)\",\"(USA) (original script title)\",(Mexico),\"(UK) (video title)\",\"(USA) (copyright title)\",\"(USA) (festival title)\",\"(USA) (informal English title)\",\"(USA) (dubbed version)\",\"(West Germany) (working title)\",\"(USA) (promotional title)\"}","{\"(Algeria: Arabic title)\",(Argentina),\"(Australia) (DVD box title)\",\"(Australia) (syndication title)\",\"(Australia) (video title)\",\"(Austria) (Venice film festival title)\",\"(Belgium: English title)\",(Brazil),\"(Canada: English title) (censored version)\",\"(Canada: English title) (series title)\",\"(Canada: English title) (working title)\",\"(China: Mandarin title)\",\"(Czechoslovakia: Czech title)\",(Denmark),(Denmark),\"(Denmark) (promotional title)\",\"(Denmark) (series title)\",\"(Denmark) (video box title)\",\"(East Germany) (theatrical title)\",\"(Europe: English title) (dubbed version)\",\"(Europe: English title) (video box title)\",(Finland),\"(Finland) (working title)\",\"(France) (alternative spelling)\",\"(France) (DVD title) (reissue title)\",\"(France) (reissue title)\",\"(France) (video title)\",\"(Germany) (Berlin film festival title)\",\"(Germany) (festival title)\",\"(Germany) (new title)\",\"(Germany) (short title)\",\"(Germany) (video title)\",(Greece),\"(Greece) (alternative transliteration)\",\"(Greece) (TV title)\",\"(Hong Kong: English title) (festival title)\",\"(Hong Kong: English title) (working title)\",\"(Hungary) (original ISO-LATIN-2 title)\",\"(Hungary) (working title)\",\"(India: Hindi title)\",\"(India: Hindi title) (short title)\",\"(India: Malayalam title) (alternative transliteration)\",\"(informal English title)\",\"(informal literal English title)\",\"(International: English title) (alternative title)\",\"(International: English title) (festival title)\",\"(International: English title) (festival title)\",\"(International: English title) (original subtitled version)\",\"(International: English title) (series title)\",\"(International: English title) (working title)\",\"(Israel: Hebrew title)\",\"(Italy) (closing credits title)\",\"(Italy) (long title)\",\"(Italy) (TV title)\",\"(Italy) (working title)\",(Japan),\"(Japan) (alternative spelling)\",\"(Japan: English title)\",\"(Japan: English title) (literal title)\",\"(Japan) (promotional title)\",\"(Japan) (short title)\",\"(Mexico) (DVD title)\",(Mongolia),\"(Netherlands) (series title)\",\"(Norway) (promotional title)\",\"(Philippines: English title) (short title)\",\"(Philippines: Tagalog title) (long title)\",(Poland),\"(Portugal) (short title)\",\"(Russia) (short title)\",\"(Singapore: English title)\",\"(Soviet Union: Moldavian title)\",\"(Spain: Castilian title)\",\"(Spain) (working title)\",(Sweden),\"(Switzerland: French title)\",\"(Switzerland: German title) (promotional title)\",\"(Taiwan) (alternative transliteration)\",\"(TV title)\",\"(UK) (complete title)\",\"(UK) (DVD title)\",\"(UK) (informal title)\",\"(UK) (new title)\",\"(UK) (repeat compilations title)\",\"(UK) (short title)\",\"(UK) (video box title)\",\"(USA) (bowdlerized title)\",\"(USA) (closing credits title)\",\"(USA) (IMAX version)\",\"(USA) (informal literal English title)\",\"(USA) (last season title)\",\"(USA) (long title)\",\"(USA) (poster title)\",\"(USA) (promotional abbreviation)\",\"(USA) (review title)\",\"(USA) (summer title)\",\"(USA) (twelfth season title)\",\"(video title)\",\"(West Germany) (informal title)\",\"(West Germany) (short title)\",\"(Yugoslavia: Serbian title) (working title)\"}",,,
"16392",movie_id,"f","0","4","-1","2","3","0","0","0","97","97","0","0","0",,"{0.966432333}",,,,"{2,2838,5594,8577,11253,14038,16651,19265,22136,24867,27663,30411,33233,35792,38588,41338,44072,46562,49330,51999,54582,57207,60123,62659,65458,67927,70705,73303,76317,78968,81683,84115,86777,89606,92260,94762,97553,100069,102908,105743,108142,110910,113441,116342,118992,121796,124531,127090,129966,132604,135305,138228,141145,144002,147130,149696,152470,155311,158125,160914,163687,166602,169364,171957,174530,177413,179853,182474,185213,188034,190733,193600,196333,198891,201791,204642,207481,210218,213062,215999,218840,221702,224469,227232,229886,232635,235319,238396,241204,244222,247064,250147,252988,255897,258782,261428,264147,266783,269610,272337,275025}",,,,
"16392",title,"f","0","4","-0.41539064","1","2","3","0","0","96","97","97","0","0","{0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05}",,"{0.644831121}",,,"{2034,21434,22706,23370,73239,93540,131277,141288,272505,320324,339465,420828,445654,507358,581366,760739,764977,4123,6696,7937,11816,15713,23463,29885,52157,56240,64639,65260,72154,74138,76687,79564,80823,85701,86584,86676,93776,107083,108119,110771,111043,111073,111312,113716,117170,117443,124416,125235,127573,128936,129599,134904,135792,138399,139293,139551,140454,146557,155143,156429,158169,158963,159121,160005,164070,165266,167512,168433,173829,174208,174541,174880,184527,184815,185320,186827,187676,188346,189319,191329,195310,199469,201909,203837,204910,212036,215512,217915,221141,222693,222731,225557,226089,234554,235239,239420,242344,247670,248791,249318}","{47,7373,17298,24212,31264,38696,46352,52940,60352,68199,76064,83631,89483,95310,103020,108997,114472,120625,126032,131403,138388,143858,150853,158044,165827,173157,180196,186038,192306,198323,204960,211537,218346,223039,227005,234643,240678,246141,252480,258384,262822,266911,271547,275768,280766,285107,289503,293896,301035,307888,315065,321811,327661,334579,340681,346866,352685,359650,365966,374008,380968,386953,394014,399915,406530,412516,418498,425466,431153,436543,442757,449569,456467,462996,469004,476555,483185,490658,497455,504070,511341,517245,524230,531069,537045,543372,549251,555700,561449,567868,576130,582161,586591,590920,693840,859174,989625,1134540,1299523,1391970,1394674}",,,
"16392",imdb_index,"f","0","21","-0.757055163","1","2","3","0","0","98","664","664","0","0","{0.00023333334,0.000166666665,0.000166666665,0.000166666665,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,0.000133333335,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,9.99999975e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05,6.66666674e-05}",,"{0.114896499}",,,"{Mother,Cinderella,Desire,Marriage,Autumn,\"Big Brother 2\",Fear,\"Forbidden Love\",Invasion,Possessed,\"Robin Hood\",\"The Bridge\",\"The Circle\",\"The Count of Monte Cristo\",\"The Mistress\",\"The Return\",\"The Trap\",Vengeance,\"All for Love\",Angel,Awakening,\"Black Magic\",Deadline,Destiny,\"Faccia d'angelo\",\"Father and Son\",\"First Love\",\"Fuori nel buio\",\"Happy Birthday\",Hunter,\"I Love You\",Jealousy,Justice,Lovers,\"Love Trap\",\"Mani in alto!\",\"Maxim's Porter\",Rage,Remembrance,\"Romeo und Julia\",\"Sleeping Beauty\",\"Slow Burn\",\"The Baby\",\"The Brothers Karamazov\",\"The Children\",\"The Last Chance\",\"The Last Man\",\"The Possessed\",\"The Sin\",\"The Specialist\",\"The Tigress\",\"The Well\",\"To Live\",\"Tough Guy\",Trapped,Triangle,\"12 metri d'amore\",\"1942: i quindici anni di Emma\",\"19 stormo bombardieri\",\"Abenteuer im Zauberwald\",\"Accadde il 20 luglio\",\"Acqua in bocca\",\"Acque profonde\",\"Adam and Eve\",\"Adieu Bonaparte\",\"A Foolish Maiden\",\"Ai vostri ordini signora!\",\"Aladdin and His Magic Lamp\",Ali,\"All the Way\",\"Allucinante notte per un delitto\",\"A Lost Letter\",Ambush,\"American Way - I folli dell'etere\",\"A Midsummer Night's Dream\",\"A Moment\",\"Angelica ragazza jet\",\"Angel of Darkness 2\",Arcobaleno,\"Armando e Michaela Denis fra i cacciatori di teste\",\"Around the World\",\"Arrivano i Flodder\",\"Auf Leben und Tod\",Avalanche,Avenged,\"A viso aperto\",Babysitter,Backroads,Ballerina,Beglets,\"Behind the Lines\",België,Betrayal,\"Blue Blood\",Blutfehde,Blutrache,Boomerang,\"Cacciatori di frontiera\",\"Capitan Cina\",\"Captain Poison\"}","{00:01:18,\"Aber bitte nicht mit meiner Frau\",\"Agente Mueller, detective Miller\",\"Almost a Virgin\",\"Andrea, el cristal y los días\",\"Arabische Kapriolen\",(A)Torzija,\"Bad Cops, Volume 1\",\"Belaya ptitsa s chyornoy otmetinoy\",\"Black Jack\",Bourrasques,\"Caccia di guerra\",\"Celestial Souljas\",\"Cindys Liebesspiele\",\"Confusing the People\",\"Curing Obesity in 5 Minutes\",\"Da shi jian\",\"Death Is My Trade\",\"Der Freischüler\",\"Der Sohn des Django\",\"Diakopes kai party me ouza\",\"Die große Revue\",\"Die Spur des Falken\",\"ðÒÅÍÉÑ íÕÚ-ô÷ 2009\",\"Dr?? Coppelius!!!\",\"Eddies große Entscheidung\",\"Eiskalt in Alexandrien - Feuersturm über Afrika\",\"Er kam als ein Fremder\",\"Falkner Thomas\",\"Filmmakers vs. Tycoons\",\"Forever Lovers\",\"Fugitive from Life\",\"Gestapo's Last Orgy\",\"Goldeneye 2\",Halálcsengõ,\"Hellish Bastards\",\"Hole in the Moon\",\"Husbands: A Comedy About Life, Death and Freedom\",\"Ihre drei Buben\",\"I Live for You\",\"Il Tesoro di Vera Cruz\",\"In Montana ist die Hölle los\",\"I segreti di Twin Peaks\",\"Jide nide wenrou\",\"Karina the Dancer\",\"König der Shaolin\",\"Ladies in Torture II\",\"La mia morte ti ucciderà\",\"La Signora ha dormito nuda con il suo assassino\",\"Le Avventure di Elmo in Brontolandia\",\"Les esclaves du désir!\",\"Lightspeed Girls: Tawnee Stone, Volume 2\",\"L'Ora misteriosa\",\"L'ultima caccia\",\"Making of 'A Taxing Woman 2'\",\"Master Q 2001\",\"Michelangelos Schwester\",\"Monte-Cristo 70\",\"My African Adventure\",\"Nel segno del padre\",\"Non vorrei essere un uomo\",\"Old Eagle\",\"Optimistic Tragedy\",\"Passing Parade #50: A Lady Fights Back\",\"Pilgrimage to Rome\",Prendster4ever,\"Quattro compositori americani\",\"Redneck County Rape\",\"Ritorno dal nulla\",\"Sacrificed Youth\",\"Schlappschuss 2 - Die Eisbrecher\",\"Serdtse materi\",\"Shin Megami Tensei: Nocturne\",\"Sleeper Cell: American Terror\",\"South Park: All Hell Breaks Loose\",\"Step Lively\",\"Sun, Moon, and Star\",\"Tarzan Delhi Mein\",\"The Adventures of Neutron Man\",\"The Bob Hope Christmas Special\",\"The Corruptor - indagine a Chinatown\",\"The E-Box\",\"The Girl of the Dust Bin\",\"The Indian Tomb\",\"The Lonely Heart\",\"The Mysterious Miss C.\",\"The Private Archives of Pablo Escovar\",\"These Women\",\"The Theft\",\"The Winter War\",\"Time Off\",\"Toto and the Women\",\"Turbine bianco\",\"Una storia moderna\",\"Untitled Duplass Brothers Project\",\"Vernal Evening\",\"Wa gwai jue jing gaak lei\",\"What Iva Recorded\",\"Wir sind füreinander bestimmt\",\"You'll Die at Midnight\",\"þ£ÒÎÁÑ ÒÏÚÁ - ÜÍÂÌÅÍÁ ÐÅÞÁÌÉ, ËÒÁÓÎÁÑ ÒÏÚÁ - ÜÍÂÌÅÍÁ ÌÀÂ×É\"}",,,
"16392",kind_id,"f","0.990766644","2","6","1","3","0","0","0","98","664","0","0","0","{0.00613333331,0.00219999999,0.000533333339,0.000133333335,0.000133333335,9.99999975e-05}","{0.510645151}",,,,"{II,I,III,IV,V,VII}",,,,
"16392",production_year,"f","0","4","7","1","3","0","0","0","96","97","0","0","0","{0.836199999,0.0711999983,0.0487999991,0.0335999988,0.00713333348,0.00300000003,6.66666674e-05}","{0.569443107}",,,,"{1,3,2,4,6,7,5}",,,,
"16392",phonetic_code,"f","0.00340000005","4","120","1","2","3","0","0","96","97","97","0","0","{0.0211999994,0.0210666675,0.0205666665,0.0205333326,0.0203333329,0.0200999994,0.0199999996,0.0197999999,0.0196666662,0.0181000009,0.0177333336,0.0176999997,0.0170666669,0.0168666672,0.0167999994,0.0157333333,0.0154999997,0.0153333331,0.0152333332,0.0152000003,0.0148999998,0.0142333331,0.0139666665,0.0139333336,0.0137999998,0.0137999998,0.013733333,0.013666667,0.0135666663,0.0133666666,0.0132666668,0.0129666664,0.0129333334,0.0129000004,0.0127999997,0.0127333337,0.0125333332,0.0124333333,0.0121666668,0.0121333329,0.0121333329,0.0120000001,0.0117666665,0.0113666663,0.0105999997,0.0105999997,0.0104,0.0102333333,0.0101666665}",,"{-0.0869281366}",,,"{2003,2002,2008,2006,2004,2001,2007,2005,2000,1998,1994,1999,1996,1992,1997,1995,1993,1989,1988,1987,1991,1973,1976,1978,1977,1990,1974,1972,1970,1986,1968,1971,1975,1982,1969,1966,1981,1985,1979,1980,1983,1967,1984,1964,1963,1965,1958,1959,1962}","{1892,1903,1908,1910,1911,1912,1913,1914,1915,1917,1919,1920,1922,1924,1925,1927,1928,1929,1929,1930,1931,1932,1932,1933,1934,1934,1935,1935,1936,1936,1937,1938,1938,1939,1940,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1949,1950,1950,1951,1951,1951,1952,1953,1953,1953,1954,1954,1955,1955,1956,1956,1957,1957,1957,1960,1960,1961,1961,1961,2009,2011}",,,
"16392",episode_of_id,"f","0.0135000004","5","11972","1","2","3","0","0","98","664","664","0","0","{0.00249999994,0.00213333336,0.00200000009,0.00156666664,0.0014666667,0.00139999995,0.0013,0.00123333337,0.00123333337,0.00120000006,0.00113333331,0.00109999999,0.00109999999,0.00106666668,0.00106666668,0.00106666668,0.00103333336,0.00103333336,0.00103333336,0.00100000005,0.00100000005,0.000933333358,0.000899999985,0.000899999985,0.000866666669,0.000833333354,0.000833333354,0.00079999998,0.00079999998,0.00079999998,0.00079999998,0.00079999998,0.00079999998,0.00079999998,0.000766666664,0.000766666664,0.000766666664,0.000766666664,0.000766666664,0.000766666664,0.000766666664,0.000766666664,0.000733333349,0.000733333349,0.000733333349,0.000733333349,0.000699999975,0.000699999975,0.000699999975,0.000699999975,0.000699999975,0.000699999975,0.00066666666,0.00066666666,0.00066666666,0.00066666666,0.00066666666,0.00066666666,0.00066666666,0.00066666666,0.00066666666,0.000633333344,0.000633333344,0.000633333344,0.000633333344,0.000633333344,0.000633333344,0.000633333344,0.000600000028,0.000600000028,0.000600000028,0.000600000028,0.000600000028,0.000600000028,0.000600000028,0.000600000028,0.000600000028,0.000600000028,0.000600000028,0.000600000028,0.000566666655,0.000566666655,0.000566666655,0.000566666655,0.000566666655,0.000566666655,0.000566666655,0.000566666655,0.000566666655,0.000566666655,0.000566666655,0.000566666655,0.000566666655,0.000566666655,0.000566666655,0.000566666655,0.000566666655,0.000566666655,0.000566666655,0.000533333339}",,"{0.127891302}",,,"{A1536,S3652,U5343,M2362,A5625,A3153,M2363,R3651,S3632,L2531,S2532,F6525,S2632,A5242,S2534,U5362,O1635,P6525,S5352,M5236,S3623,G6532,I5165,I5253,M2361,S3631,U5363,C4365,H5252,I5235,M3523,P6521,R3653,S2631,C62,D6325,G4352,G5236,G6531,M2521,S1632,S5213,D2362,D6252,F6532,S1652,C2,C5125,C6235,L2325,T6253,U4352,C5353,E5253,F2352,F6536,N2313,S2,S2523,S3613,T6252,D5262,G6535,M6365,P6256,S2625,S3,W5362,A5362,F4232,F6234,G1642,G6534,I5362,L1653,L2316,M5165,S2652,S5252,T6235,A1535,A2532,C5323,D2523,D3231,E2165,F5325,F6135,G5232,I5361,L1532,L3232,M3253,P6323,P6363,S2536,U4353,V6252,W5365,B4353}","{A,A2326,A35,A4361,A5315,A6252,B2135,B2616,B3634,B4315,B5262,B6246,B6563,C2342,C3532,C4525,C5253,C6212,C6452,D1425,D2361,D34,D5162,D5415,D6352,E23,E4253,E6254,F2436,F4251,F5361,F6263,F6543,G3123,G4356,G6152,G6512,H2363,H363,H5241,H6254,I2434,I52,I5432,J3423,J6536,K4513,K5363,L1325,L2134,L2536,L51,M1351,M2452,M3,M3632,M5216,M5356,M625,N1253,N2362,N41,O1313,O5125,O6431,P2425,P42,P5351,P6236,P653,R1362,R2316,R2631,R4252,S1216,S1535,S2324,S252,S3123,S3524,S4,S4536,S5251,S5641,T1323,T2453,T3416,T51,T5413,T625,T6526,U5263,V2423,V5161,V6323,W2536,W4153,W5312,W6463,Y6234,Z6563}",,,
"16392",season_nr,"f","0.996999979","4","50","2","3","0","0","0","97","97","0","0","0",,"{0.0774334297}",,,,"{300,1177,1387,1417,1515,1515,1570,2708,2968,3094,3917,4022,5315,5628,5668,5670,5978,5989,6125,6170,6170,6651,6657,6669,6772,7069,7335,7335,7335,7335,7335,7904,8039,8039,8232,8925,9892,10407,10880,11221,11221,11351,11351,11351,11351,12066,12066,12685,14194,14240}",,,,
"16392",episode_nr,"f","0.998000026","4","8","2","3","0","0","0","97","97","0","0","0",,"{0.654570699}",,,,"{1,1,1,1,1,1,3,27}",,,,
